"","fullname","basename","qa_date","datetime_start","sampleID","filterID","sampletype","fieldworkerID","HHID","loggerID","samplerate_minutes","sampling_duration","night_hrs_bl","max_1hr_avg","Daily_avg","Daily_sd","max_1hr_avg_flag","Daily_avg_flag","Daily_stdev_flag","elevated_night_flag","nonresponsive_flag","sample_duration_flag","bl_flag","flag_total","flags"
"164","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-11-27_KE5-2-KE001-K_LAS1500","2019-11-27_KE5-2-KE001-K_LAS1500",2019-12-05,2019-11-26 09:27:53,"KE5-2-KE001-K",NA,"KE001",2,5,"LAS1500",0.000277777777777778,1.23194444444444,0,1.09166666666667,0.0709859154929577,1.55173027304201,0,0,0,0,0,0,0,0,""
"165","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-11-27_KE502-KE001-C_LAS1404","2019-11-27_KE502-KE001-C_LAS1404",2019-12-05,2019-11-26 09:08:56,"KE502-KE001-C",NA,"C",1,502,"LAS1404",0.000277777777777778,1.24444444444444,0,0.458333333333333,0.035973229224763,0.327266927965642,0,0,0,0,0,0,0,0,""
"166","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-11-27_KE504-KE007-C_LAS1476","2019-11-27_KE504-KE007-C_LAS1476",2019-12-05,2019-11-26 09:21:48,"KE504-KE007-C",NA,"C",7,504,"LAS1476",0.000277777777777778,1.26458333333333,0,3.625,0.310647639956092,1.65249440125378,0,0,0,0,0,0,0,0,""
"167","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-11-27_KE504-KE007-K_LAS1479","2019-11-27_KE504-KE007-K_LAS1479",2019-12-05,2019-11-26 09:14:23,"KE504-KE007-K",NA,"K",7,504,"LAS1479",0.000277777777777778,1.26666666666667,6.5,17,6.27945205479452,3.46065601446729,0,1,0,1,0,0,1,3,"Daily_avg, elevated_night, bl"
"168","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-11-27_KE508-KE012-C_LAS1460","2019-11-27_KE508-KE012-C_LAS1460",2019-12-05,2019-11-26 09:23:09,"KE508-KE012-C",NA,"C",12,508,"LAS1460",0.000277777777777778,1.23263888888889,0,3.91666666666667,0.312218468468468,1.65386868004572,0,0,0,0,0,0,0,0,""
"169","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-11-27_KE518-KE008-C_LAS1402","2019-11-27_KE518-KE008-C_LAS1402",2019-12-05,2019-11-26 09:26:09,"KE518-KE008-C",NA,"C",8,518,"LAS1402",0.000277777777777778,1.26666666666667,0,4,0.64,2.64823468178796,0,0,0,0,0,0,0,0,""
"170","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-11-27_KE518-KE008-K_LAS1497","2019-11-27_KE518-KE008-K_LAS1497",2019-12-05,2019-11-26 09:26:55,"KE518-KE008-K",NA,"K",8,518,"LAS1497",0.000277777777777778,1.26458333333333,0,2.3,0.109769484083425,0.942045545367116,0,0,0,0,0,0,0,0,""
"171","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-11-28_KE501-KE007-C_LAS1420","2019-11-28_KE501-KE007-C_LAS1420",2019-12-05,2019-11-27 09:03:44,"KE501-KE007-C",NA,"C",7,501,"LAS1420",0.000277777777777778,1.23402777777778,1.5,11.7916666666667,1.62035995500562,2.6038090545128,0,0,0,0,0,0,0,0,""
"172","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-11-28_KE501-KE007-K_LAS1416","2019-11-28_KE501-KE007-K_LAS1416",2019-12-05,2019-11-27 09:04:13,"KE501-KE007-K",NA,"K",7,501,"LAS1416",0.000277777777777778,1.23263888888889,0,5.85,0.558558558558559,2.07363189718418,0,0,0,0,0,0,0,0,""
"173","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-11-29_KE508-KE008-C_LAS1460","2019-11-29_KE508-KE008-C_LAS1460",2019-12-05,2019-11-28 09:04:30,"KE508-KE008-C",NA,"C",8,508,"LAS1460",0.000277777777777778,1.23194444444444,0,1.48333333333333,0.0529577464788732,1.09331317254165,0,0,0,0,0,0,0,0,""
"174","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-11-29_KE508-KE008-K_LAS1479","2019-11-29_KE508-KE008-K_LAS1479",2019-12-05,2019-11-28 09:03:37,"KE508-KE008-K",NA,"K",8,508,"LAS1479",0.000277777777777778,1.22916666666667,5.97,9.025,5.64398644833427,2.68588941551186,0,0,0,0,0,0,1,1,"bl"
"175","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-12-03_KE511-KE011-C_LAS1403","2019-12-03_KE511-KE011-C_LAS1403",2019-12-05,2019-12-02 09:09:06,"KE511-KE011-C",NA,"C",11,511,"LAS1403",0.000277777777777778,1.27638888888889,4.5,11.8583333333333,2.85481239804241,4.71884922794313,0,0,0,0,0,0,0,0,""
"176","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-12-03_KE511-KE012-C_LAS1476","2019-12-03_KE511-KE012-C_LAS1476",2019-12-05,2019-12-02 08:48:38,"KE511-KE012-C",NA,"C",12,511,"LAS1476",0.000277777777777778,1.28888888888889,0,10.0916666666667,1.578352180937,3.91276437892106,0,0,0,0,0,0,0,0,""
"177","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-12-03_KE511-KE012-K_LAS1480","2019-12-03_KE511-KE012-K_LAS1480",2019-12-05,2019-12-02 08:50:46,"KE511-KE012-K",NA,"K",12,511,"LAS1480",0.000277777777777778,1.28819444444444,3.5,26.3333333333333,11.3278556034483,8.56767100502216,0,1,1,0,0,0,0,2,"Daily_avg, Daily_stdev"
