"","fullname","basename","qa_date","sampleID","filterID","sampletype","fieldworkerID","HHID","loggerID","samplerate_minutes","sampling_duration","night_hrs_bl","max_1hr_avg","Daily_avg","Daily_sd","max_1hr_avg_flag","Daily_avg_flag","Daily_stdev_flag","elevated_night_flag","nonresponsive_flag","sample_duration_flag","bl_flag","flag_total","flags"
"31","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-10-17_KE015-KE05-K_LAS1477","2019-10-17_KE015-KE05-K_LAS1477",2019-10-20,"KE015-KE05-K",NA,"K",5,15,"LAS1477",0.000277777777777778,1.32083333333333,4,126.2,34.5985286389911,46.4020274034494,1,1,1,0,0,0,0,3,"max_1hr_avg, Daily_avg, Daily_stdev"
"32","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-10-17_KE026-KE011-L__LAS1479","2019-10-17_KE026-KE011-L__LAS1479",2019-10-20,"KE026-KE011-L","LAS1479","L",11,26,"",0.000277777777777778,1.32152777777778,2.5,4.51666666666667,2.04017857142857,1.14655836288369,0,0,0,0,0,0,0,0,""
"33","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-10-18-KE015-KE05-L_LAS1497","2019-10-18-KE015-KE05-L_LAS1497",2019-10-20,"LAS1497",NA,NA,NA,1497,NA,0.000277777777777778,1.31805555555556,15,286.8,21.0850447604002,61.2410506795972,1,1,1,1,0,0,1,5,"max_1hr_avg, Daily_avg, Daily_stdev, elevated_night, bl"
"34","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-09-12_KE888-KE999-K_CAA030","2019-09-12_KE888-KE999-K_CAA030",2019-10-20,"KE888-KE999-K",NA,"K",999,888,"CAA030",0.000277777777777778,7.7,NA,151.4,22.7483801295896,81.9357053963589,1,1,1,1,0,1,1,6,"max_1hr_avg, Daily_avg, Daily_stdev, elevated_night, sample_duration, bl"
"35","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-09-13_KE888-KE007-C_CAA030","2019-09-13_KE888-KE007-C_CAA030",2019-10-20,"KE888-KE007-C",NA,"C",7,888,"CAA030",0.000277777777777778,19.05,0,18.0916666666667,2.58479020979021,6.19483707857925,0,0,1,0,0,1,0,2,"Daily_stdev, sample_duration"
"36","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-09-25_KE126-KE003-C_LAS1500","2019-09-25_KE126-KE003-C_LAS1500",2019-10-20,"KE126-KE003-C",NA,"C",3,126,"LAS1500",0.000277777777777778,2.72361111111111,0,155.183333333333,3.32691817486617,23.1587788009963,1,0,1,0,0,0,0,2,"max_1hr_avg, Daily_stdev"
"37","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-09-25_KE126-KE003-K_LAS1497","2019-09-25_KE126-KE003-K_LAS1497",2019-10-20,"KE126-KE003-K",NA,"K",3,126,"LAS1497",0.000277777777777778,2.725,0,56.2916666666667,1.55452229299363,9.32925495523084,0,0,1,0,0,0,0,1,"Daily_stdev"
"38","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-09-25_KE157-KE006-C_LAS1478","2019-09-25_KE157-KE006-C_LAS1478",2019-10-20,"KE157-KE006-C",NA,"C",6,157,"LAS1478",0.000277777777777778,1.99930555555556,0,15.775,2.35208333333333,8.38445334130859,0,0,1,0,0,0,0,1,"Daily_stdev"
"39","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-09-25_KE157-KE006-K_LAS1404","2019-09-25_KE157-KE006-K_LAS1404",2019-10-20,"KE157-KE006-K",NA,"K",6,157,"LAS1404",0.000277777777777778,2.01111111111111,0,54.8583333333333,10.3669313082499,23.1909817382657,0,1,1,0,0,0,0,2,"Daily_avg, Daily_stdev"
"40","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-09-25_KE169-KE008-C_LAS1403","2019-09-25_KE169-KE008-C_LAS1403",2019-10-20,"KE169-KE008-C",NA,"C",8,169,"LAS1403",0.000277777777777778,1.86666666666667,4.25,11.5,4.10896243956861,2.26853099799004,0,0,0,0,0,0,0,0,""
