"","fullname","datestart","basename","basename_sansext","sampleID","loggerID","filterID","sampletype","fieldworkerIDstr","fieldworkerID","HHIDstr","HHID","flag","filename_flag"
"130","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-07_KE155-KE004-K_UCC320168F_CAA562raw",2019-11-07,"2019-11-07_KE155-KE004-K_UCC320168F_CAA562raw","2019-11-07_KE155-KE004-K_UCC320168F_CAA562raw","KE155-KE004-K","UCC320168F","CAA562raw","K","KE004",4,"KE155",155,"good",0
"131","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-07_KE155-KE004-Y_ECM00055_CAA717raw",2019-11-07,"2019-11-07_KE155-KE004-Y_ECM00055_CAA717raw","2019-11-07_KE155-KE004-Y_ECM00055_CAA717raw","KE155-KE004-Y","ECM00055","CAA717raw","Y","KE004",4,"KE155",155,"good",0
"132","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-08_KE033-KE003-C_UCC320141F_CAA459raw",2019-11-08,"2019-11-08_KE033-KE003-C_UCC320141F_CAA459raw","2019-11-08_KE033-KE003-C_UCC320141F_CAA459raw","KE033-KE003-C","UCC320141F","CAA459raw","C","KE003",3,"KE033",33,"good",0
"133","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-08_KE033-KE003-K_UCC320036N_CAA568raw",2019-11-08,"2019-11-08_KE033-KE003-K_UCC320036N_CAA568raw","2019-11-08_KE033-KE003-K_UCC320036N_CAA568raw","KE033-KE003-K","UCC320036N","CAA568raw","K","KE003",3,"KE033",33,"good",0
"134","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-08_KE033-KE003-Y_ECM00469_CAA716raw",2019-11-08,"2019-11-08_KE033-KE003-Y_ECM00469_CAA716raw","2019-11-08_KE033-KE003-Y_ECM00469_CAA716raw","KE033-KE003-Y","ECM00469","CAA716raw","Y","KE003",3,"KE033",33,"good",0
"135","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-08_KE103-KE006-C_UCC320170F_CAA569raw",2019-11-08,"2019-11-08_KE103-KE006-C_UCC320170F_CAA569raw","2019-11-08_KE103-KE006-C_UCC320170F_CAA569raw","KE103-KE006-C","UCC320170F","CAA569raw","C","KE006",6,"KE103",103,"good",0
"136","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-08_KE103-KE006-K_UCC320116F_CAA563raw",2019-11-08,"2019-11-08_KE103-KE006-K_UCC320116F_CAA563raw","2019-11-08_KE103-KE006-K_UCC320116F_CAA563raw","KE103-KE006-K","UCC320116F","CAA563raw","K","KE006",6,"KE103",103,"good",0
"137","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-08_KE103-KE006-Y_ECM00503_CAA606raw",2019-11-08,"2019-11-08_KE103-KE006-Y_ECM00503_CAA606raw","2019-11-08_KE103-KE006-Y_ECM00503_CAA606raw","KE103-KE006-Y","ECM00503","CAA606raw","Y","KE006",6,"KE103",103,"good",0
"138","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-12_KE120-KE003-C_UGF320431N_CAA564raw",2019-11-12,"2019-11-12_KE120-KE003-C_UGF320431N_CAA564raw","2019-11-12_KE120-KE003-C_UGF320431N_CAA564raw","KE120-KE003-C","UGF320431N","CAA564raw","C","KE003",3,"KE120",120,"good",0
"139","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-12_KE120-KE003-K_UGF320415N_CAA565raw",2019-11-12,"2019-11-12_KE120-KE003-K_UGF320415N_CAA565raw","2019-11-12_KE120-KE003-K_UGF320415N_CAA565raw","KE120-KE003-K","UGF320415N","CAA565raw","K","KE003",3,"KE120",120,"good",0
"140","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-12_KE120-KE003-Y_ECM00480_CAA608raw",2019-11-12,"2019-11-12_KE120-KE003-Y_ECM00480_CAA608raw","2019-11-12_KE120-KE003-Y_ECM00480_CAA608raw","KE120-KE003-Y","ECM00480","CAA608raw","Y","KE003",3,"KE120",120,"good",0
"141","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-25_KE508-KE003-C_UGF320502N_CAA551raw",2019-11-25,"2019-11-25_KE508-KE003-C_UGF320502N_CAA551raw","2019-11-25_KE508-KE003-C_UGF320502N_CAA551raw","KE508-KE003-C","UGF320502N","CAA551raw","C","KE003",3,"KE508",508,"good",0
"142","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-25_KE508-KE003-K_UCC320116F_CAA524raw",2019-11-25,"2019-11-25_KE508-KE003-K_UCC320116F_CAA524raw","2019-11-25_KE508-KE003-K_UCC320116F_CAA524raw","KE508-KE003-K","UCC320116F","CAA524raw","K","KE003",3,"KE508",508,"good",0
"143","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-25_KE508-KE003-KD_UGF320508N_CAA472raw",2019-11-25,"2019-11-25_KE508-KE003-KD_UGF320508N_CAA472raw","2019-11-25_KE508-KE003-KD_UGF320508N_CAA472raw","KE508-KE003-KD","UGF320508N","CAA472raw","KD","KE003",3,"KE508",508,"good",0
"144","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-25_KE508-KE003-Y_ECM00503_CAA632raw",2019-11-25,"2019-11-25_KE508-KE003-Y_ECM00503_CAA632raw","2019-11-25_KE508-KE003-Y_ECM00503_CAA632raw","KE508-KE003-Y","ECM00503","CAA632raw","Y","KE003",3,"KE508",508,"good",0
"145","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-25_KE509-KE006-C_UCC320170F_CAA460raw",2019-11-25,"2019-11-25_KE509-KE006-C_UCC320170F_CAA460raw","2019-11-25_KE509-KE006-C_UCC320170F_CAA460raw","KE509-KE006-C","UCC320170F","CAA460raw","C","KE006",6,"KE509",509,"good",0
"146","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-25_KE509-KE006-K_UCC320159F_CAA523raw",2019-11-25,"2019-11-25_KE509-KE006-K_UCC320159F_CAA523raw","2019-11-25_KE509-KE006-K_UCC320159F_CAA523raw","KE509-KE006-K","UCC320159F","CAA523raw","K","KE006",6,"KE509",509,"good",0
"147","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-25_KE509-KE006-K-D_UCC320111F_CAA475raw",2019-11-25,"2019-11-25_KE509-KE006-K-D_UCC320111F_CAA475raw","2019-11-25_KE509-KE006-K-D_UCC320111F_CAA475raw","KE509-KE006-K-D","UCC320111F","CAA475raw","K","KE006",6,"KE509",509,"good",0
"148","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-25_KE509-KE006-Y_ECM00469_CAA633raw",2019-11-25,"2019-11-25_KE509-KE006-Y_ECM00469_CAA633raw","2019-11-25_KE509-KE006-Y_ECM00469_CAA633raw","KE509-KE006-Y","ECM00469","CAA633raw","Y","KE006",6,"KE509",509,"good",0
