"","qa_date","fullname","basename","sampleID","filterID","sampletype","fieldworkerID","HHID","datestart","datetime_start","loggerID","shutdown_reason","dutycycle","AverageVolumetricFlowRate","RunTimeHrs","software_vers","filterID_upas","app_version","gps_lat_med","gps_lon_med","flow_mean","flow_sd","flow_min","flow_max","percent_flow_deviation","flow_flag","inletp_flag","temp_flag","rh_flag","shutdown_flag","filename_flag","flag_total","smry","analysis"
"14",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-14_KE229-KE005-E_PS0963_397","2019-10-14_KE229-KE005-E_PS0963_397","KE229-KE005-E","397","E",5,229,2019-10-14,2019-10-14 13:25:00,"PS0963",1,100,1.003,2.21,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE228-KE06-E___","A2.1.9",0,0,1.003,0.006,0.987,1.062,0,0,0,0,0,0,0,0,TRUE,TRUE
"15",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-15_KE158-KE011-E_PS9064_386","2019-10-15_KE158-KE011-E_PS9064_386","KE158-KE011-E","386","E",11,158,2019-10-15,2019-10-15 13:30:30,"PS9064",1,100,1.004,1.336,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE158-KE02_____","A2.1.9",0,0,1.004,0.008,0.993,1.068,0,0,0,0,0,0,0,0,TRUE,TRUE
"16",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-16_KE199-KE005-E_PS0964_466","2019-10-16_KE199-KE005-E_PS0964_466","KE199-KE005-E","466","E",5,199,2019-10-16,2019-10-16 12:06:00,"PS0964",1,100,0.997,1.337,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE199-KE05-E___","A2.1.9",0,0,0.997,0.008,0.99,1.052,0,0,0,0,0,0,0,0,TRUE,TRUE
"17",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-17_KE015-KE005-E_PS0962_458","2019-10-17_KE015-KE005-E_PS0962_458","KE015-KE005-E","458","E",5,15,2019-10-17,2019-10-17 12:27:00,"PS0962",1,100,1.009,0.048,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE015-KE05-E___","A2.1.9",0,0,1.009,0.002,1.007,1.012,0,0,0,0,0,0,0,0,TRUE,TRUE
"18",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-18_KE026-KE011-E_PS0963_427","2019-10-18_KE026-KE011-E_PS0963_427","KE026-KE011-E","427","E",11,26,2019-10-18,2019-10-18 11:02:30,"PS0963",1,100,1.002,0.988,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE026-KE011-E__","A2.1.9",0,0,1.002,0.011,0.989,1.085,0,0,0,0,0,0,0,0,TRUE,TRUE
"19",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-18_KE777-KE004-A_PS0966_374","2019-10-18_KE777-KE004-A_PS0966_374","KE777-KE004-A","374","A",4,777,2019-10-18,2019-10-15 09:10:30,"PS0966",2,50,0.998,61.463,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE777-KE004-A__","A2.1.9",0.418811,35.323436,0.998,0.005,0.989,1.027,0,0,0,0,0,1,0,1,TRUE,TRUE
"20",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-23_KE190-KE004-E_PS0964_341","2019-10-23_KE190-KE004-E_PS0964_341","KE190-KE004-E","341","E",4,190,2019-10-23,2019-10-23 11:42:00,"PS0964",1,100,1.004,1.953,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE190-KE004_E__","A2.1.9",0,0,1.004,0.004,0.989,1.044,0,0,0,0,0,0,0,0,TRUE,TRUE
"21",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-24_KE023-KE004-E_PS0964_452","2019-10-24_KE023-KE004-E_PS0964_452","KE023-KE004-E","452","E",4,23,2019-10-24,2019-10-24 12:59:30,"PS0964",1,100,1.003,1.586,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE023-KE004-E__","A2.1.9",0.619335,35.081185,1.003,0.006,0.994,1.054,0,0,0,0,0,0,0,0,TRUE,TRUE
"22",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-24_KE028-KE011-E_PS0965_453","2019-10-24_KE028-KE011-E_PS0965_453","KE028-KE011-E","453","E",11,28,2019-10-24,2019-10-24 12:32:30,"PS0965",1,100,0.998,1.077,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE028-KE11-E___","A2.1.9",0,0,0.998,0.008,0.988,1.049,0,0,0,0,0,0,0,0,TRUE,TRUE
"23",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-25_KE777-KE005-A_PS0966_410","2019-10-25_KE777-KE005-A_PS0966_410","KE777-KE005-A","410","A",5,777,2019-10-25,2019-10-22 08:22:00,"PS0966",1,50,0.999,76.816,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE777-KE05-A___","A2.1.9",0.418725,35.323284,0.999,0.005,0.987,1.011,0,0,0,0,0,0,0,0,TRUE,TRUE
"24",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-28_KE117-KE004-E_PS0963_446","2019-10-28_KE117-KE004-E_PS0963_446","KE117-KE004-E","446","E",4,117,2019-10-28,2019-10-28 14:15:30,"PS0963",1,100,1.005,1.104,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE117-KE004-E__","A2.1.9",0,0,1.005,0.007,0.99,1.054,0,0,0,0,0,0,0,0,TRUE,TRUE
