"","qa_date","fullname","basename","sampleID","filterID","sampletype","fieldworkerID","HHID","loggerID","shutdown_reason","dutycycle","AverageVolumetricFlowRate","RunTimeHrs","software_vers","datetime_start","filterID_upas","app_version","gps_lat_med","gps_lon_med","flow_mean","flow_sd","flow_min","flow_max","percent_flow_deviation","flow_flag","inletp_flag","temp_flag","rh_flag","shutdown_flag","filename_flag","flag_total","smry","analysis"
"21",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Ben/PS5906_LOG_2019-09-26T09_59_28UTC_KE156-KE006-E______405","PS5906_LOG_2019-09-26T09_59_28UTC_KE156-KE006-E______405","LOG","59",NA,NA,NA,"2019-09-26T09",1,100,1.025,0.024,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-26 09:59:28,"KE156-KE006-E__","A2.1.9",0,0,1.025,0.004,1.021,1.028,0,0,0,0,0,0,1,1,TRUE,TRUE
"22",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Gilbert/PS0963_LOG_2019-09-13T08_36_23UTC_KE888-KE004-E______000","PS0963_LOG_2019-09-13T08_36_23UTC_KE888-KE004-E______000","LOG","36",NA,NA,NA,"2019-09-13T08",1,100,1.026,0.013,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-13 08:36:23,"KE888-KE004-E__","A2.1.9",0,0,0.819,0.432,0,1.027,0.25,1,0,0,0,0,1,2,TRUE,TRUE
"23",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Gilbert/PS0964_LOG_2019-09-19T08_26_42UTC_KE881-KE013-E______152","PS0964_LOG_2019-09-19T08_26_42UTC_KE881-KE013-E______152","LOG","26",NA,NA,NA,"2019-09-19T08",1,100,0.957,0.009,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-19 08:26:42,"KE881-KE013-E__","A2.1.9",0,0,0.988,0.052,0.952,1.025,0,0,0,0,0,0,1,1,TRUE,TRUE
"24",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Gilbert/PS0964_LOG_2019-09-19T08_38_36UTC_KE152-KE004________401","PS0964_LOG_2019-09-19T08_38_36UTC_KE152-KE004________401","LOG","38",NA,NA,NA,"2019-09-19T08",1,100,0.979,0.043,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-19 08:38:36,"KE152-KE004____","A2.1.9",0,0,0.98,0.017,0.951,0.993,0,0,0,0,0,0,1,1,TRUE,TRUE
"25",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Gilbert/PS0964_LOG_2019-09-23T15_12_45UTC_k__________________401","PS0964_LOG_2019-09-23T15_12_45UTC_k__________________401","LOG","12",NA,NA,NA,"2019-09-23T15",1,100,1.003,0.043,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-23 15:12:45,"k______________","A2.1.9",0,0,1.001,0.007,0.99,1.007,0,0,0,0,0,0,1,1,TRUE,TRUE
"26",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Gilbert/PS0964_LOG_2019-09-24T09_19_52UTC_KE126-KE004-E______401","PS0964_LOG_2019-09-24T09_19_52UTC_KE126-KE004-E______401","LOG","19",NA,NA,NA,"2019-09-24T09",1,100,1.004,0.7,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-24 09:19:52,"KE126-KE004-E__","A2.1.9",0.4813035,35.3172515,1.004,0.013,0.936,1.065,0,0,0,0,0,0,1,1,TRUE,TRUE
"27",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Marylydia/PS0962_LOG_2019-09-18T13_47_37UTC_KE777-KE004________361","PS0962_LOG_2019-09-18T13_47_37UTC_KE777-KE004________361","LOG","47",NA,NA,NA,"2019-09-18T13",2,50,1.997,29.629,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-18 13:47:37,"KE777-KE004____","A2.1.9",0.418826,35.32342,1.997,0.008,1.982,2.018,Inf,1,0,0,0,1,1,3,TRUE,TRUE
"28",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Marylydia/PS0962_LOG_2019-09-23T05_28_31UTC_KE777-KE004-A______381","PS0962_LOG_2019-09-23T05_28_31UTC_KE777-KE004-A______381","LOG","28",NA,NA,NA,"2019-09-23T05",1,50,1.022,0.029,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-23 05:28:31,"KE777-KE004-A__","A2.1.9",0,0,1.022,0.004,1.018,1.026,0,0,0,0,0,0,1,1,TRUE,TRUE
"29",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Marylydia/PS0962_LOG_2019-09-23T07_31_42UTC_KE777-KE005-A______422","PS0962_LOG_2019-09-23T07_31_42UTC_KE777-KE005-A______422","LOG","31",NA,NA,NA,"2019-09-23T07",2,50,0.999,70.019,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-23 07:31:42,"KE777-KE005-A__","A2.1.9",0.418813,35.323439,0.999,0.005,0.983,1.02,0,0,0,0,0,1,1,2,TRUE,TRUE
"30",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Marylydia/PS0963_2019-10-02_KE238-KE004-E_419","PS0963_2019-10-02_KE238-KE004-E_419","2019-10-02","419","02",10,2019,"KE238-KE004-E",1,100,1.002,1.362,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-10-02 08:19:07,"KE238-KE004-E__","A2.1.9",0,0,1.002,0.011,0.993,1.097,0,0,0,0,0,0,0,0,TRUE,TRUE
"31",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Marylydia/PS0964_LOG_2019-09-25T05_43_36UTC_k__________________404","PS0964_LOG_2019-09-25T05_43_36UTC_k__________________404","LOG","43",NA,NA,NA,"2019-09-25T05",1,100,1.018,0.004,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-25 05:43:36,"k______________","A2.1.9",0,0,1.018,NA,1.018,1.018,0,0,0,0,0,0,1,1,TRUE,TRUE
"32",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Marylydia/PS0967_LOG_2019-09-24T10_22_30UTC_KE152-005__________371","PS0967_LOG_2019-09-24T10_22_30UTC_KE152-005__________371","LOG","22",NA,NA,NA,"2019-09-24T10",1,100,0.988,0.003,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-24 10:22:30,"KE152-005______","A2.1.9",0,0,0.988,NA,0.988,0.988,0,0,0,0,0,0,1,1,TRUE,TRUE
"33",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Marylydia/PS0967_LOG_2019-09-24T10_26_23UTC_KE157-KE005-E______371","PS0967_LOG_2019-09-24T10_26_23UTC_KE157-KE005-E______371","LOG","26",NA,NA,NA,"2019-09-24T10",1,100,0.999,1.975,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-24 10:26:23,"KE157-KE005-E__","A2.1.9",0,0,0.999,0.008,0.989,1.084,0,0,0,0,0,0,1,1,TRUE,TRUE
"34",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/TestFilesUPAS/2019-05-15_KE034-KE011-K_PS7414_f152copy2","2019-05-15_KE034-KE011-K_PS7414_f152copy2","KE034-KE011-K","f152copy2","K",11,34,"PS7414",3,100,1.004,0.998,"UPAS_v2_0-rev0105-L152RE_20181120_mbed116.bin compiledNov 21 2018_00:26:43UTC",2019-08-16 20:28:57,"---------------","A2.2.0",40.0342795,-105.2824865,1.004,0.001,1.002,1.014,0,0,0,0,0,0,0,0,TRUE,TRUE
"35",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/TestFilesUPAS/2019-05-15_KE034-KE011-K_PS7414_f152copy3","2019-05-15_KE034-KE011-K_PS7414_f152copy3","KE034-KE011-K","f152copy3","K",11,34,"PS7414",3,100,1.004,0.998,"UPAS_v2_0-rev0105-L152RE_20181120_mbed116.bin compiledNov 21 2018_00:26:43UTC",2019-08-16 20:28:57,"---------------","A2.2.0",40.0342795,-105.2824865,1.004,0.001,1.002,1.014,0,0,0,0,0,0,0,0,TRUE,TRUE
"36",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/TestFilesUPAS/2019-05-15_KE034-KE011-K_PS7414_f152copy4","2019-05-15_KE034-KE011-K_PS7414_f152copy4","KE034-KE011-K","f152copy4","K",11,34,"PS7414",3,100,1.004,0.998,"UPAS_v2_0-rev0105-L152RE_20181120_mbed116.bin compiledNov 21 2018_00:26:43UTC",2019-08-16 20:28:57,"---------------","A2.2.0",40.0342795,-105.2824865,1.004,0.001,1.002,1.014,0,0,0,0,0,0,0,0,TRUE,TRUE
"37",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/TestFilesUPAS/2019-05-15_KE034-KE011-K_PS7414_f152copy","2019-05-15_KE034-KE011-K_PS7414_f152copy","KE034-KE011-K","f152copy","K",11,34,"PS7414",3,100,1.004,0.998,"UPAS_v2_0-rev0105-L152RE_20181120_mbed116.bin compiledNov 21 2018_00:26:43UTC",2019-08-16 20:28:57,"---------------","A2.2.0",40.0342795,-105.2824865,1.004,0.001,1.002,1.014,0,0,0,0,0,0,0,0,TRUE,TRUE
"38",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/TestFilesUPAS/2019-05-15_KE034-KE011-K_PS7414_f152","2019-05-15_KE034-KE011-K_PS7414_f152","KE034-KE011-K","f152","K",11,34,"PS7414",3,100,1.004,0.998,"UPAS_v2_0-rev0105-L152RE_20181120_mbed116.bin compiledNov 21 2018_00:26:43UTC",2019-08-16 20:28:57,"---------------","A2.2.0",40.0342795,-105.2824865,1.004,0.001,1.002,1.014,0,0,0,0,0,0,0,0,TRUE,TRUE
